source,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:MF,cytokine activity,GO:0005125,0.000161356,3.7922136,239,59,8,20802,"IL18,SPP1,INHBB,GDF5,CXCL12,CCL11,IL6,IL33"
GO:MF,receptor ligand activity,GO:0048018,0.000673963,3.171364068,509,59,10,20802,"IL18,SPP1,INHBB,GDF5,CXCL12,IGF2,PENK,CCL11,IL6,IL33"
GO:MF,signaling receptor activator activity,GO:0030546,0.000735788,3.133247024,514,59,10,20802,"IL18,SPP1,INHBB,GDF5,CXCL12,IGF2,PENK,CCL11,IL6,IL33"
GO:MF,signaling receptor binding,GO:0005102,0.003438013,2.463692503,1624,59,16,20802,"COL3A1,IL18,SPP1,CLEC2D,INHBB,GDF5,CXCL12,IGF2,SOCS2,RARRES2,ANGPTL7,PENK,MFAP4,CCL11,IL6,IL33"
GO:MF,L-xylulose reductase (NADP+) activity,GO:0050038,0.003530553,2.452157319,2,59,2,20802,"DCXR,CBR2"
GO:MF,growth factor activity,GO:0008083,0.028853519,1.539801213,149,59,5,20802,"INHBB,GDF5,CXCL12,IGF2,IL6"
GO:BP,response to external stimulus,GO:0009605,1.64E-10,9.785819598,2912,57,32,21118,"COL3A1,IL18,CFH,IFITM6,GHR,NPC2,SPP1,CTSL,B2M,ISG20,TNFAIP6,C2,ENPP4,CLEC2D,RNASEL,INHBB,GDF5,ADAMTS5,CXCL12,IGF2,DPEP1,RARRES2,IFITM1,BNIP3,TENT5A,PENK,MFAP4,CCL11,IL6,IL33,OAS1C,GBP8"
GO:BP,biological process involved in interspecies interaction between organisms,GO:0044419,5.08E-09,8.294346802,1688,57,24,21118,"IL18,CFH,IFITM6,NPC2,B2M,ISG20,C2,CLEC2D,RNASEL,ADAMTS5,CXCL12,IGF2,RARRES2,IFITM1,BNIP3,TENT5A,PENK,MFAP4,LRRC15,CCL11,IL6,IL33,OAS1C,GBP8"
GO:BP,Response to other organism,GO:0051707,8.62E-09,8.064721465,1562,57,23,21118,"IL18,CFH,IFITM6,NPC2,B2M,ISG20,C2,CLEC2D,RNASEL,ADAMTS5,CXCL12,IGF2,RARRES2,IFITM1,BNIP3,TENT5A,PENK,MFAP4,CCL11,IL6,IL33,OAS1C,GBP8"
GO:BP,response to external biotic stimulus,GO:0043207,8.96E-09,8.047573696,1565,57,23,21118,"IL18,CFH,IFITM6,NPC2,B2M,ISG20,C2,CLEC2D,RNASEL,ADAMTS5,CXCL12,IGF2,RARRES2,IFITM1,BNIP3,TENT5A,PENK,MFAP4,CCL11,IL6,IL33,OAS1C,GBP8"
